,SPY,IWM,EFA,EEM,VNQ,DBC,IEF,TLT,TIP,SGOV,BIL
2015-06-30,0.016260419441776863,0.030949841869288452,-0.0025895701309944785,-0.02054326978723328,-0.04433795802918586,-0.069083164365975,-0.002452560926326397,-0.032688668436909735,-0.011010453568389728,-0.000546530458462896,-0.000546530458462896
2015-07-31,0.053540134240506576,0.049907001762745096,0.02142233973241303,-0.09172988348068806,0.021741579159899743,-0.18520191916955903,0.008532662461927909,0.006461579881996998,-0.012452636952556606,-0.0003826591465312945,-0.0003826591465312945
2015-08-31,-0.04221591432796798,-0.04515914825037784,-0.07482714685687644,-0.16374923443376474,-0.054642301636937396,-0.15656092369864177,0.007873500317220755,-0.003654044709268417,-0.019005787430730475,-0.00038253744449739946,-0.00038253744449739946
2015-09-30,-0.03994979899764328,-0.06792496932547037,-0.0787754769162427,-0.14375053868188456,0.014973974855440136,-0.1631933995465641,0.028432390152140496,0.031621918964837514,-0.011630453609745406,-0.0008201459140295131,-0.0008201459140295131
2015-10-30,0.03435583628178712,-0.010278623883220095,-0.018745346604960827,-0.08304447882080496,0.039467854426223525,-0.1295836603332465,0.011725343168532965,0.012058052702138083,-0.012544559189380772,-0.0008196744055251337,-0.0008196744055251337
2015-11-30,0.022698556152708216,0.018127678704330796,-0.0243682682934864,-0.08776174384251847,0.03133862402398094,-0.16647516340103438,0.0065420868577718005,0.0044268508899296954,-0.010274064398581528,-0.0004922143733180062,-0.0004922143733180062
2015-12-31,0.016679906456339627,-0.036740280654848995,-0.016708522111953727,-0.0943781385366887,0.05151320964853984,-0.17757557613207092,0.0029732085815015186,0.0013897626135829788,-0.013527739588474808,-0.0006010298669966718,-0.0006010298669966718
2016-01-29,-0.04767352677423922,-0.11074457349347602,-0.08643472370971272,-0.1305064080794601,-0.03336546197628268,-0.1639202292654394,0.024466276322696934,0.023920030512277757,-0.005382369885997829,-0.00021903412040896741,-0.00021903412040896741
2016-02-29,-0.0349655191740913,-0.09686460046503026,-0.09852860109193523,-0.1077131972991808,-0.0013030990209023374,-0.1473753681713036,0.0386070050974307,0.06130504413288612,0.00875947444051789,-0.0003282100772279972,-0.0003282100772279972
2016-03-31,0.04545696316840303,-0.0028971444300643356,-0.010256108732560193,0.031991582745569874,0.08615201198906125,-0.07677498098576513,0.029100665055535546,0.045353190314496916,0.02769128927191178,-0.00016417811501356905,-0.00016417811501356905
2016-04-29,0.022198480715168167,0.009134824609288245,-0.014718149761370813,-0.012196149964847969,0.04494792808619963,-0.0014304289409349802,0.022520178561626053,0.033751611464945735,0.01913794184381362,0.0003283645622929876,0.0003283645622929876
2016-05-31,0.034618511060914514,0.014903905969645748,-0.010648538305417593,-0.032726343192311075,0.07798356797569139,0.007472899348366591,0.020392872300734638,0.04502532498196757,0.011878408253234468,0.0002189838334623051,0.0002189838334623051
2016-06-30,0.026482781500977826,-0.0006445639828283889,-0.038064365416922014,0.005039439598415546,0.12801087376231662,0.050060324358384284,0.05801037453504526,0.1287915128990883,0.03740316481087985,5.4595597888396075e-05,5.4595597888396075e-05
2016-07-29,0.07012075858063449,0.08177830368647093,0.01089303595788213,0.07682726939476886,0.15762313549256318,-0.016273088102150557,0.04046482239942406,0.1077187515259766,0.03230269993128693,0.0003832151373814874,0.0003832151373814874
2016-08-31,0.07520011671875065,0.09791399364963194,0.034365800066067875,0.10991829709103484,0.1185873726464283,0.007930309861555934,0.025586493291789303,0.08281166246685095,0.028156386326378152,0.00027372105439993355,0.00027372105439993355
2016-09-30,0.06353572428534149,0.09682103375608292,0.04760680881106638,0.0966306762934665,0.053601892898911846,0.03527888343123689,0.018878535572325994,0.04636161856273538,0.028163212606197086,0.0006567750834783892,0.0006567750834783892
2016-10-31,0.012880892612636446,0.01031432733118795,-0.01048679856239182,0.04901325746429913,-0.02144215311678352,0.013640497773980409,0.004523308269821474,0.002237717275171025,0.01781410303347644,0.0006564133843623976,0.0006564133843623976
2016-11-30,0.0488845578823926,0.11446529835336755,-0.02194712784323352,0.019240692972180035,-0.01900139340295673,0.044891847652902106,-0.03065396314241614,-0.06752492336873542,0.0008896904540404704,0.00010969213576775272,0.00010969213576775272
2016-12-30,0.06463730108818411,0.1305720898226983,0.018029362828430817,0.0205649346636933,0.015551765764855174,0.07856677755261254,-0.027897605610143483,-0.06242785741136925,0.0009466798647601582,0.0004925576880124294,0.0004925576880124294
2017-01-31,0.08847023776344021,0.15177783541822076,0.05528367595562583,0.09289059054048077,0.016207005210766817,0.09561531719986283,-0.03062656195263333,-0.06151464246752539,0.005665594160209342,0.0006568446761408553,0.0006568446761408553
2017-02-28,0.11657674850736327,0.1399407805359849,0.07257983133142437,0.10722361336481995,0.06722984230466927,0.08924809833192465,-0.014710335679857273,-0.0328912716944553,0.010512242183872395,0.00116060617234659,0.00116060617234659
2017-03-31,0.0830657700848701,0.09976731618189072,0.07482203504114843,0.09953728799080641,-0.0017911422823977952,0.021394635861874678,-0.01583200396359194,-0.038413351053414896,0.003505948701202688,0.0007499819450741407,0.0007499819450741407
2017-04-28,0.09254346350376935,0.11994793981749641,0.08371988239739742,0.09206437971627385,0.028351575987656252,-0.020719947449013038,-0.0016465889938242495,-0.011585265485696744,0.006583804458648618,0.001264714642284781,0.001264714642284781
2017-05-31,0.08018515658901926,0.05468807242562235,0.11805848869907043,0.1387141608505731,0.010415084575802147,-0.03374800404645556,0.013084624656144628,0.01854442822407465,0.010935992465418154,0.001214718165920281,0.001214718165920281
2017-06-30,0.07664217742727858,0.08779986244034982,0.10338133779525588,0.11915943136643131,0.011642485273497316,-0.051486784599584584,-0.0014467615635108122,0.008790258603208145,-0.003203634952538753,0.0022509779810321873,0.0022509779810321873
2017-07-31,0.0790904733338692,0.06747626148126401,0.10428144734951261,0.14105059361650346,0.00823858929018731,0.0162971484644866,-0.0003725348936413908,-0.010678233046453961,-0.001369016354359709,0.0019162639208539778,0.0019162639208539778
2017-08-31,0.062727460194896,0.046959700627897394,0.08311688002171175,0.13729323101541696,0.0048916775774428545,0.012211055106390728,0.011774610986979572,0.018018781231422226,0.007748482096902765,0.0028099167922388535,0.0028099167922388535
2017-09-29,0.08137882896989895,0.10405624159552462,0.09503509589918052,0.11021744614822104,0.00958881998090605,0.03102163486271381,-0.005903256342588176,-0.010716739399330932,-0.0015742878968535434,0.002980241504306147,0.002980241504306147
2017-10-31,0.09896631569353742,0.1055457904604235,0.10064627921548597,0.12905728937821503,0.010531620969061711,0.06401223844851756,-0.0042363563987687924,0.0029680420119476136,0.0016037360715810134,0.003177785104125974,0.003177785104125974
2017-11-30,0.11049175027986441,0.11250628476031865,0.10021821472704723,0.11702022055797892,0.04737583278192431,0.062408613776027744,-0.0013697166410847894,0.01924891402557999,0.004672702252457889,0.003337907156637343,0.003337907156637343
2017-12-29,0.10290284881124023,0.06698650200481818,0.09791641087349534,0.15835574190667706,0.02112852266304438,0.07612756819489896,0.00634724344440174,0.041012072336443106,0.017946681270437415,0.0034525743319435143,0.0034525743319435143
2018-01-31,0.14378773899211694,0.0901912933815523,0.12713857659809324,0.1947049534765654,-0.021834645820952125,0.08006628217016787,-0.016745606125368212,0.0023495240122102246,0.0029631017760997913,0.004216346678607319,0.004216346678607319
2018-02-28,0.06843623224874512,0.03298642483513409,0.05551230549004654,0.09373933137057525,-0.10028454451776492,0.03832621605979317,-0.025166680985958756,-0.03398621348419978,-0.00909964040431488,0.004172502361539432,0.004172502361539432
2018-03-29,0.03930895299573875,0.03996404591229111,0.039940801869360915,0.09345751146159847,-0.03894358097689224,0.06603371597912189,-0.008671195619177563,0.00452713695552262,0.0029591863618133596,0.004947563352395101,0.004947563352395101
2018-04-30,0.029370038308162538,0.03571924238324528,0.03465600796151519,0.028746348700781577,-0.02861081089789974,0.08608994011547189,-0.021096585331870116,-0.01933239189809577,-0.0004716823780938628,0.004972945641538051,0.004972945641538051
2018-05-31,0.05025396687778577,0.10549985472345413,0.011984651277934882,0.01559822189078941,0.021284462095224388,0.11610143266164824,-0.007197086368351313,0.00692107371181741,0.005647329003736878,0.005833548105675601,0.005833548105675601
2018-06-29,0.052347476405141036,0.08464687724928499,-0.0013874382185290468,-0.036716722310752126,0.03867783075955161,0.07744048187071131,-0.009797149753651785,-0.005175953412124262,0.008657641129800608,0.006180153521964271,0.006180153521964271
2018-07-31,0.06831285908611273,0.08895538511584372,0.008412420904905515,-0.017749851044662035,0.04015768702544731,0.028434517416159433,-0.00785940535603899,-0.006108411516879159,0.0029702498160880386,0.006530424517458222,0.006530424517458222
2018-08-31,0.09524089890635151,0.13022236750977884,-0.004488271568279384,-0.04945744601470839,0.07860407518233414,0.04236660023283559,-0.000105472500605025,0.005120190147274495,0.00997308987038431,0.006904492160138775,0.006904492160138775
2018-09-28,0.0938810213271854,0.07027770384700677,0.010831862725305036,-0.035443692865281096,0.022696756227242515,0.06888394146487359,-0.014520058581471401,-0.02979071221820412,-0.003791139918223191,0.007032631395389954,0.007032631395389954
2018-10-31,0.00030924492030301454,-0.050157753780398245,-0.08737323654115095,-0.1275034102687272,-0.0016965309721649335,-0.011961775186504958,-0.009537425082227186,-0.04270447827239465,-0.015486927518256005,0.007611234872874129,0.007611234872874129
2018-11-30,0.014516739983084781,-0.03728141032449156,-0.054420802384207295,-0.04597168478221325,0.029669684819843695,-0.1061314297990229,8.461632752446158e-05,-0.027877990168307776,-0.00955966144403006,0.008142205468549435,0.008142205468549435
2018-12-31,-0.08455585445494512,-0.15208775778394962,-0.10768289009868037,-0.0873149127504887,-0.0662554606407571,-0.12732064613077965,0.026864644815058458,0.025689022811733242,-0.006989203070335098,0.008602477424852428,0.008602477424852428
2019-01-31,0.007120200914555674,-0.005282175567011493,-0.031132759345119443,0.014666421707710375,0.08465884321185146,-0.042787155597812876,0.03426407346850302,0.03482602160590048,0.013183370875318068,0.008795824002177877,0.008795824002177877
2019-02-28,0.016148052261760665,0.012333047675977732,-0.008060187716815215,-0.01647347871274482,0.06662829749932259,-0.0025283954376258133,0.02361176440381918,0.019564009551504835,0.007696625952670372,0.00914268405016938,0.00914268405016938
2019-03-29,0.0573196658414136,0.014980285162402629,0.00909119009320175,0.008346232605540571,0.12875520722797917,-0.015397891365366512,0.04509063253682022,0.06491697943179736,0.026564183295712473,0.00930036568955378,0.00930036568955378
2019-04-30,0.09140215114967809,0.05132164200615308,0.036889500319901763,0.03449936267374035,0.09117606738210646,-0.01552741387514675,0.03562173017277734,0.042750701224991916,0.02456012956954695,0.009669003565394407,0.009669003565394407
2019-05-31,-0.0067714422929702756,-0.06926577816226628,-0.025314309964212522,-0.049471204513392514,0.06808853422100158,-0.06480608008870986,0.0636265495784451,0.11241410748081843,0.040266660957816225,0.010012362537512476,0.010012362537512476
2019-06-28,0.09914152746383192,0.05557464975569856,0.06254770739242727,0.04731432949622416,0.08556647224140274,0.003950640296020352,0.05395116542380013,0.07302217685009688,0.035473393891830185,0.010032477109234605,0.010032477109234605
2019-07-31,0.055473009607486745,0.0029084338279834476,-0.004170207749247812,-0.034910910399479606,0.0667196934805005,-0.03247824678770772,0.052392298033816675,0.08182645969101454,0.033957081025390135,0.010119728972930786,0.010119728972930786
2019-08-30,0.03432308032271961,-0.049814487669202046,-0.006693849806840013,-0.034176865439310145,0.09257800925181642,-0.0681423658663716,0.08442840180368211,0.1816063605047057,0.05145388759449859,0.009973429537490808,0.009973429537490808
2019-09-30,0.034667734731339606,-0.02443705436145352,0.010287679518562437,-0.024303405144089185,0.09638268446744908,-0.058992827643925855,0.05502856428006256,0.11349591268999171,0.029604678322025568,0.009928204052569556,0.009928204052569556
2019-10-31,0.05780516516491324,0.015564397335789348,0.056549380948894556,0.037493688930633234,0.10887721636615816,-0.03161710767049447,0.062141657490525914,0.12213590454269033,0.034826174117660674,0.009770638936654918,0.009770638936654918
2019-11-29,0.1078735774644744,0.08052552899837051,0.07751071581106861,0.04239091655436847,0.06797364778792614,0.014318243040506828,0.03304850851394503,0.06987012357779096,0.026361414678420847,0.009025998372938993,0.009025998372938993
2019-12-31,0.1350415896328679,0.11338376464427147,0.09889912891733993,0.11221690813009161,0.09605068253234378,0.07115171259716657,0.01743035406261259,0.023880434740729678,0.02861441880197163,0.008550589797516106,0.008550589797516106
2020-01-31,0.09299496454483869,0.03240090404520138,0.038735460238984165,-0.0040604243472164014,0.06557273412428094,-0.05311478455584409,0.052703355516805606,0.11225607520291048,0.045071741610315075,0.008180584187432505,0.008180584187432505
2020-02-28,-0.006508888365448495,-0.06111969409450346,-0.039573443175502904,-0.013139909153668666,-0.019971328127378785,-0.091118797748525,0.06803154106937687,0.1417150045956983,0.043058456847611504,0.007900978896641875,0.007900978896641875
2020-03-31,-0.12758261511472252,-0.2501416364007215,-0.17266044786471363,-0.1814385321888033,-0.20977382996297902,-0.24730084915874118,0.09819549237053243,0.1958835400002612,0.01915073413167001,0.008531667170721902,0.008531667170721902
2020-04-30,0.002828193868426032,-0.09168281055966998,-0.09489666403359431,-0.0797779635511987,-0.09058514918513694,-0.21820153155195873,0.0836126213772963,0.18242420565311357,0.04856230551755558,0.0066267822395301434,0.0066267822395301434
2020-05-29,0.0469276625079513,-0.03745966840476134,-0.03277344654381778,-0.0448542047199377,-0.07946611997214212,-0.12022757489248126,0.07195043665568313,0.1206150246342344,0.0399152089040517,0.005393894347839295,0.005393894347839295
2020-06-30,0.06517892266549985,0.023525689818556406,0.0071745430760160045,0.02458432090938875,-0.0118178486685801,-0.07347054561284694,0.06137432922325853,0.11965330870629243,0.050170323096939196,0.004446953269075238,0.00418683952995863
2020-07-31,0.08324438105956511,0.010844556757297952,0.012960095023904245,0.09238188643306333,-0.013064310455869699,-0.007166149934038524,0.060134835121471275,0.14173097858157835,0.05765019047960607,0.0037333896730255,0.003587803189764316
2020-08-31,0.15804351020835905,0.07672118472434836,0.06635180967987647,0.1150706793908936,-0.014339593307493598,0.02956754960271052,0.028511889994924322,0.029559281821858935,0.05070246346860097,0.0030989182705364327,0.002880606169050115
2020-09-30,0.12835884004178574,0.08501317928686739,0.058449856810094125,0.1249915899525248,0.0037252315304661665,0.017156504005675616,0.028080064565233487,0.04127984757547054,0.04974962840213229,0.002170342881416154,0.0017424153342233129
2020-10-30,0.05251834179746992,0.061889668809417236,-0.0029111339199725805,0.08821765043125418,-0.053891511122426766,-0.013714039946535056,0.009793913990078534,-0.0058313147675171095,0.030001799272556445,0.0018323806546678978,0.0015242398096229626
2020-11-30,0.13084367393295826,0.19993016275758485,0.11760825008570203,0.16494791637571193,0.04299207663289989,0.05999536484190701,0.020145919882878532,0.03731918670089346,0.03941485736156797,0.0016264015958531441,0.0011587544406015116
2020-12-31,0.14101801977971395,0.24464775466548,0.12343980377834646,0.18274185690910122,0.04539203950738757,0.07396871754925025,0.0185071553361498,0.027228465366678,0.045197677143512194,0.0013111588815111763,0.000993497030709889
2021-01-29,0.1106101981007453,0.27469600851461307,0.11483412646743324,0.19177290291798177,0.034754129809681594,0.11246030008522151,0.00020795544354570983,-0.02919004481300988,0.0352011930811198,0.0010169427788295216,0.0006289774078591381
2021-02-26,0.12214606213932205,0.2998167477178278,0.11384107604189442,0.1720450114034744,0.061599313185304705,0.19159187041368597,-0.02664375030088406,-0.08429690324632666,0.0094043809861242,0.0006808155237751912,0.00025141203689224567
2021-03-31,0.2159072553387893,0.3948195583525976,0.1804717516924793,0.20888371705450742,0.17408806537588328,0.2177565053969189,-0.05303243939101057,-0.13099322436307148,0.01394065445527276,0.00013704053563606822,-0.0002951841140427791
2021-04-30,0.23286231325221157,0.3343198947790926,0.20180316408484872,0.18537641258020887,0.23195589322418508,0.32906534662505416,-0.032259454228372536,-0.0826275303161034,0.02214460196576462,0.0003214501503174261,-0.0002460431665927132
2021-05-28,0.17144951835995448,0.2332256868490672,0.16957153180724271,0.16329676202538412,0.1770938666056514,0.2658844580586834,-0.02639331455599367,-0.07477027989346083,0.028506196057263122,0.00035248826696121505,-0.0002565123861687224
2021-06-30,0.1668249472420283,0.21270431802555995,0.11634590410843981,0.12986038647331283,0.1752449662359431,0.26679501474065503,-0.010925414279689433,-0.01777882324317992,0.02866170902686871,0.0002322826310596493,-0.0004284211627400003
2021-07-30,0.1585924345654971,0.13568070233847393,0.1159000659850763,0.01936119480644466,0.18664079013024326,0.2231146378146287,0.004218454129947813,-0.0003173744647965715,0.043713499273037304,0.0001922340928240951,-0.0005106720007125309
2021-08-31,0.15381678100299245,0.1330813996004172,0.10010524831070144,0.03720418110701007,0.18646443376240257,0.1444400349976175,0.002571198689912735,0.013786124750064549,0.03478902295257161,0.0001824386882364193,-0.0005385727229354209
2021-09-30,0.08710575511495575,0.09917781732865769,0.06326301089702102,-0.004262550621758482,0.1017723188389032,0.215138964756955,-0.009697431605449447,-0.013596185078341955,0.026960189779925092,0.00019743337141142625,-0.0002647413206087468
2021-10-29,0.1636758743429238,0.14996374255739747,0.10772237938190382,0.02517278372473941,0.1733212257484118,0.25816715974686694,-0.014169665521070879,0.010305818194648209,0.03169198655303296,0.00011225704860998165,-0.0004018930597549375
2021-11-30,0.09290571438637493,0.028483784972700793,-0.0019273138579651294,-0.04947771580778246,0.09176953624473655,0.09319567956094382,-0.0032068801459243235,0.028836031521736694,0.03234839354505331,0.00011972957027023279,-0.0005108920277217543
2021-12-31,0.14030609296407281,0.040950618924317006,0.050882954348929754,-0.03456993997834934,0.20262074053113804,0.14738836985285708,-0.009131169881706785,0.0003149177573725237,0.03154715880260062,0.0002274797323560951,-0.00043729580722834394
2022-01-31,0.04880309885859152,-0.07651185583460987,-0.005293206112291865,-0.033094737129988144,0.050247637131447864,0.18868849012231187,-0.029863536340698854,-0.040236874210426515,-0.0007610872916504197,0.00018252488016307078,-0.00038247764398721684
2022-02-28,0.017245019247589616,-0.05232466280515419,-0.028682258364331692,-0.07019942152239073,0.023658355295378908,0.24033438547386354,-0.023477614958289872,-0.03767020282914699,0.015714499573941887,0.0002399219356961635,-0.0004919297858395066
2022-03-31,0.05135154365976341,-0.04569935896918792,-0.02374872460331301,-0.08431124968471201,0.07396271062038715,0.30153733166507257,-0.05170853711382528,-0.062013218760741146,-0.003792146134448726,0.00046243253992767075,2.2178894877489252e-05
2022-04-29,-0.06645777786488857,-0.13319823090986857,-0.09613539289427972,-0.13717498602363196,-0.002700207671346544,0.2777304125269621,-0.07852302289599478,-0.1403196699439491,-0.0222252451218079,0.0006375819618887335,-0.00017456875917859493
2022-05-31,-0.03516025458823255,-0.10039161442108349,-0.04997580618837691,-0.10081124812777378,-0.028320626669581822,0.3198733467722546,-0.06490498193701266,-0.13862107570175866,-0.03311539131074706,0.0009824178313827536,0.0003171515424293392
