signal_date,date,execution,traded_notional,equity_at_entry,SPY,IWM,EFA,EEM,VNQ,DBC,IEF,TLT,TIP,SGOV,BIL
2016-02-29,2016-03-01,next-session open,0.002111450190822428,1.663400749830486,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-03-31,2016-04-01,next-session open,0.025616261936422857,1.7154183020617613,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-04-29,2016-05-02,next-session open,0.007554499383730762,1.7261188455677017,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-05-31,2016-06-01,next-session open,0.0035294155604757016,1.7393527471788897,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-06-30,2016-07-01,next-session open,0.012230080655066755,1.7694305571878295,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-07-29,2016-08-01,next-session open,0.019739083181813444,1.8048489601905173,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-08-31,2016-09-01,next-session open,0.005000267239505252,1.798844474816249,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-09-30,2016-10-03,next-session open,0.0032551872738605936,1.7999189723333686,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-10-31,2016-11-01,next-session open,0.0020097714954537826,1.7728453789381977,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-11-30,2016-12-01,next-session open,0.03853333828407601,1.7805762144503208,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2016-12-30,2017-01-03,next-session open,0.012548414684008247,1.8071354352429743,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-01-31,2017-02-01,next-session open,0.0035872869714160815,1.8216814760563151,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-02-28,2017-03-01,next-session open,0.020937505120363575,1.875880035315178,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-03-31,2017-04-03,next-session open,0.00777603256226872,1.875719494038916,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-04-28,2017-05-01,next-session open,0.0016620778005279613,1.8960018142875348,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-05-31,2017-06-01,next-session open,0.003043996280348016,1.9172697978771913,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-06-30,2017-07-03,next-session open,0.0056182654329881565,1.9248477643015216,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-07-31,2017-08-01,next-session open,0.00789641532969848,1.948316411259271,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-08-31,2017-09-01,next-session open,0.006280968068870296,1.9622020646222764,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-09-29,2017-10-02,next-session open,0.015367675955845428,1.9750278771281387,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-10-31,2017-11-01,next-session open,0.013819071762673274,2.003382337137867,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-11-30,2017-12-01,next-session open,0.012577290217557602,2.0342212147926837,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2017-12-29,2018-01-02,next-session open,0.008416497083225727,2.053989654795974,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-01-31,2018-02-01,next-session open,0.032893670327371616,2.097904872215727,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-02-28,2018-03-01,next-session open,0.013173089899917778,2.048274528836164,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-03-29,2018-04-02,next-session open,0.01854733560077315,2.0205572050794958,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-04-30,2018-05-01,next-session open,0.008252511558069331,2.0168372324931103,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-05-31,2018-06-01,next-session open,0.012655639600499757,2.0603688990196507,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-06-29,2018-07-02,next-session open,0.006564992333813302,2.0588446959330247,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-07-31,2018-08-01,next-session open,0.0253775606227159,2.106325049666128,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-08-31,2018-09-04,next-session open,0.00821594102736839,2.153513567420815,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-09-28,2018-10-01,next-session open,0.011674595236088325,2.1591861727696546,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-10-31,2018-11-01,next-session open,0.03395706016332889,2.0660117398736686,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-11-30,2018-12-03,next-session open,0.008944311809285288,2.11625557327766,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2018-12-31,2019-01-02,next-session open,0.0752647487089641,1.9930540457410255,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2019-01-31,2019-02-01,next-session open,0.04283051877495686,2.113412226153367,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2019-02-28,2019-03-01,next-session open,0.02030198638069003,2.1573903186392624,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2019-03-29,2019-04-01,next-session open,0.002434461631460938,2.204278405374212,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2019-04-30,2019-05-01,next-session open,0.017389194066285363,2.249245011560834,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2019-05-31,2019-06-03,next-session open,0.04831077765427416,2.1891954745545017,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2019-06-28,2019-07-01,next-session open,0.03300541075186758,2.307102603923914,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2019-07-31,2019-08-01,next-session open,0.0005506486917641329,2.313195864274068,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
